Time,Label,Confidence,X,Y,Z,Angle
2025-04-02 18:28:36,person,0.72,-0.18,-0.13,0.52,-19.5
2025-04-02 18:28:37,person,0.69,-0.02,-0.02,0.08,-16.0
2025-04-02 18:28:39,rectangle,0.52,-0.23,-0.14,0.55,-22.5
2025-04-02 18:28:40,person,0.6,-0.06,-0.04,0.15,-22.0
2025-04-02 18:28:40,person,0.73,0.62,-0.19,0.85,36.0
2025-04-02 18:28:40,hand,0.52,0.1,-0.04,0.16,32.0
2025-04-02 18:28:42,hand,0.77,-0.04,-0.04,0.2,-10.5
2025-04-02 18:28:42,person,0.51,-0.04,-0.04,0.19,-10.5
2025-04-02 18:28:42,hand,0.93,0.05,-0.03,0.13,20.5
2025-04-02 18:28:42,person,0.58,-0.02,-0.04,0.21,-5.5
2025-04-02 18:28:43,hand,0.87,0.05,-0.03,0.13,21.5
2025-04-02 18:28:43,person,0.64,0.07,-0.02,0.1,33.5
2025-04-02 18:28:45,hand,0.92,-0.06,-0.04,0.2,-17.0
2025-04-02 18:28:45,person,0.53,-0.07,-0.04,0.19,-19.0
2025-04-02 18:28:45,hand,0.82,-0.04,-0.04,0.21,-10.5
2025-04-02 18:28:45,person,0.61,-0.04,-0.04,0.18,-12.0
2025-04-02 18:28:47,person,0.87,0.71,-0.18,1.11,32.5
2025-04-02 18:28:50,person,0.97,-0.19,-0.06,0.23,-39.5
2025-04-02 18:28:51,person,0.96,-4.26,-1.52,5.86,-36.0
2025-04-02 18:28:53,person,0.97,-0.2,-0.06,0.25,-39.5
2025-04-02 18:28:53,person,0.98,-0.24,-0.08,0.29,-39.5
2025-04-02 18:28:54,person,0.96,-0.17,-0.05,0.2,-39.5
2025-04-02 18:28:56,person,0.98,-0.13,-0.04,0.16,-39.0
2025-04-02 18:28:56,person,0.98,-0.2,-0.07,0.25,-38.5
2025-04-02 18:28:57,person,0.98,-0.07,-0.02,0.09,-39.0
2025-04-02 18:28:59,person,0.98,-0.06,-0.02,0.07,-39.0
2025-04-02 18:28:59,person,0.98,-0.21,-0.07,0.27,-38.5
2025-04-02 18:29:00,person,0.98,-0.28,-0.09,0.35,-38.5
2025-04-02 18:29:02,person,0.53,-0.1,-0.09,0.35,-15.5
